,City,Country,Latitude,Longtitude,Time of Searching,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
160,Kaitangata,NZ,-46.28,169.85,2018-08-25 19:20:23.802694,55.01,72,0,21.63
161,Ixtapa,MX,20.71,-105.21,2018-08-25 19:20:23.802694,77.0,100,90,14.99
162,Puerto Baquerizo Moreno,EC,-0.9,-89.6,2018-08-25 19:20:23.802694,71.6,83,90,13.87
163,Ahipara,NZ,-35.17,173.16,2018-08-25 19:20:23.802694,57.53,85,56,11.68
164,Ribeira Brava,PT,32.65,-17.07,2018-08-25 19:20:23.802694,71.6,68,20,20.8
165,Delbruck,DE,51.77,8.57,2018-08-25 19:20:23.802694,49.35,81,20,6.93
166,Norman Wells,CA,65.28,-126.83,2018-08-25 19:20:23.802694,53.6,87,90,3.36
167,Tiksi,RU,71.64,128.87,2018-08-25 19:20:23.802694,46.82,99,0,3.06
168,Mchinji,MW,-13.8,32.89,2018-08-25 19:20:23.802694,54.65,88,0,5.41
169,Okara,PK,30.81,73.45,2018-08-25 19:20:23.802694,80.21,76,0,5.75
170,Emerald,AU,-23.53,148.16,2018-08-25 19:20:23.802694,69.32,75,36,4.63
171,Pisco,PE,-13.71,-76.2,2018-08-25 19:20:23.802694,71.6,30,0,11.41
172,Gagarin,UZ,40.66,68.17,2018-08-25 19:20:23.802694,52.76,66,0,3.18
173,Parambu,BR,-6.21,-40.7,2018-08-25 19:20:23.802694,79.4,34,0,8.99
174,Gualaquiza,EC,-3.4,-78.58,2018-08-25 19:20:23.802694,64.19,83,24,0.49
175,Lichinga,MZ,-13.3,35.25,2018-08-25 19:20:23.802694,59.0,77,0,4.7
176,Kilindoni,TZ,-7.91,39.67,2018-08-25 19:20:23.802694,76.07,100,0,11.45
177,Beringovskiy,RU,63.05,179.32,2018-08-25 19:20:23.802694,49.52,100,92,9.66
178,Riohacha,CO,11.54,-72.91,2018-08-25 19:20:23.802694,86.0,70,40,8.05
179,Saldanha,PT,41.42,-6.55,2018-08-25 19:20:23.802694,57.26,74,0,1.39
180,Hun,BE,50.34,4.87,2018-08-25 19:20:23.802694,50.36,81,0,4.7
181,Zhigansk,RU,66.77,123.37,2018-08-25 19:20:23.802694,54.02,69,0,3.06
